,1,2,3,4,5,6,7,8,9,10,11,12
A,1463000,984660,1411580,1600080,1607260,1406690,1108060,1029870,1056070,758589,821758,711320
B,855811,874073,801696,942218,1024960,943637,671844,657887,581684,389918,397755,338270
C,476359,668197,630604,547878,650209,581980,332067,328658,304574,146632,186991,164787
D,770206,965522,1007530,671215,946758,947508,695570,632108,687726,350135,378595,470597
E,442308,493049,613127,618230,655152,650711,375341,335998,360933,206866,195399,460064
F,429677,385660,471823,384703,381952,386216,142821,184156,189133,102833,98076.1,196470
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
