Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_6-10-36 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7212.79,5617.68,6767.99,6673.53,7062.83,6354.47,6956.21,5668.18,6590.29,5817.83,6474.49,6423.84
,B,5746.94,5230.11,5642.31,5587.05,5811.91,5507.52,5393.06,5217.77,5335.53,5494.03,5583.67,5410.77
,C,5858.02,5329.06,5651.98,5519.43,5647.37,5489.54,5447.85,5159.26,5614.42,5683.24,5683.74,5545.27
,D,5719.75,5543.1,5733.17,5534.58,5818.77,5317.51,5652.58,5499.41,5719.09,5607.86,5619.17,6132.52
,E,5654.71,5301.96,5715.8,5804.91,5762.38,5204.64,5524.55,6471.11,4530.5,5197.23,5394.7,5568
,F,5551.46,5419.54,5295.78,5187.41,5045.42,4856.55,4849.66,5033.7,5507.74,4885.83,4905.12,5075.52
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2535620,1851620,2396140,2301250,2482860,2001960,1823280,1256720,1409530,869612,1100150,822174
,B,2138560,2033690,2177620,1920970,2148200,1983470,1422140,1414830,1312160,888533,939834,684041
,C,494423,482930,510344,460404,462648,486308,234689,234246,222553,109347,129997,115540
,D,1036240,1203560,1470510,1214850,1451840,1373920,1165990,1003990,1255770,616341,668158,921646
,E,496063,440299,530592,583454,607249,533987,328489,308516,331072,148686,151882,348345
,F,349503,364524,366014,281837,305595,267753,131095,145227,170519,94397.3,86584.7,196496
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
