,1,2,3,4,5,6,7,8,9,10,11,12
A,2372780,1230670,2451610,2414780,2118910,2457750,2515520,2379730,2634860,4219180,4149960,4087700
B,3070400,2870700,2566750,2531270,2847070,2766390,2700320,2528970,2554480,5609830,5504180,4856880
C,513118,538608,555970,539549,538225,596684,554517,618297,576011,2334810,2651670,2711080
D,727449,993357,1140090,1150630,1147840,1203640,1060960,1159470,1180110,2552350,2523120,2800790
E,371335,419725,413291,469300,469219,428012,452406,403786,434272,1728040,1694120,1675580
F,129436,137617,136526,131278,132929,138109,99011.5,70747.3,92383.2,375430,370859,366869
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
