,1,2,3,4,5,6,7,8,9,10,11,12
A,5518.02,4939.92,5216.28,5198.27,4711.78,5201.43,5188.68,5239.96,5524.39,13312.8,12753,14220.5
B,4773.62,4804.86,4295.35,4428.34,4425.12,4454.65,4841.5,4623.07,4733.58,11370.2,10855.5,10174.3
C,4641.23,4787.82,4600.2,4763.39,4567.54,4465.49,4871.4,4747.34,4892.29,16095.6,21718.9,19754.6
D,4134.47,4262.42,4379.16,4328.69,4195.03,4394.1,4492.7,4519.72,4658.34,10737.3,11055.3,11944.6
E,4247.83,4191.99,4057.42,4223.91,4062.63,4003.62,4245.81,4300.34,4531.59,8288.2,8344.46,9361.52
F,4096.65,3956.45,3977.93,4043.97,4024.46,4385.75,4215.92,4489.7,4208.93,4818.24,4908.15,4911.61
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
