Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_4-49-03 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8020.1,9651.69,7709.72,6295.12,7009.78,7141.3,6656.02,6093.89,5868.3,6237.74,6505.55,5926.94
,B,6060.18,6155.31,5729.59,4798.44,4891.36,5145.83,4691.54,4800.4,4973.91,5065.77,4829.59,4754.13
,C,5895.11,6473.01,5616.72,4788.58,4872.87,5189.65,4876.05,4883.15,4573.79,4746.82,4727.69,4744.02
,D,5878.3,6560.47,5602.96,4664.39,4732.34,4962.45,4438.88,4520.71,4573.15,4529.31,4526.22,4404.66
,E,6312.94,6438.69,5404.5,4948.52,4810.34,5161.66,4582.11,4219.48,4326.63,4712.08,4517.33,4377.05
,F,6102.65,6008.17,5078.48,4551.9,4559.61,4506.14,4388,4479.18,4499.06,4302.23,4245.92,4348.31
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1935770,2396190,1754790,1519990,1880540,2144560,1924100,1668090,1532430,1648490,1620550,1411960
,B,1149010,1299920,1207370,1374970,1249210,1558600,1404100,1463220,1373340,1233550,1237450,1039630
,C,324673,525831,434932,488535,524232,567875,495296,499724,443102,424040,416919,427421
,D,811638,1261750,888048,958447,1050390,1174830,934228,993688,1009300,856600,849539,743133
,E,333195,502770,357468,453457,453498,516222,433967,377561,401980,451536,421552,426689
,F,265165,309217,282418,330371,319804,300460,278740,275596,227517,198586,204010,202912
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
