,1,2,3,4,5,6,7,8,9,10,11,12
A,1079780,1344010,1172510,1157300,939414,803563,683758,525585,633355,454253,563021,501073
B,1762160,1880790,1750760,1614330,2132130,1416400,1281770,1167050,1227380,1115560,1038760,1054060
C,397786,383285,362325,380696,351455,330302,222680,211227,248827,158202,152161,145598
D,965578,1065170,951143,846089,762056,922806,566563,591948,520093,481915,450571,437462
E,533710,543084,518657,467270,549740,495717,313779,296306,330354,248014,233393,221373
F,199954,184795,201946,183681,178880,185132,107189,97400.4,124705,76182.8,84803.2,75965.2
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
