,1,2,3,4,5,6,7,8,9,10,11,12
A,2050960,1088260,2344160,2144820,1897280,2146370,2431730,2294120,2458580,4090370,3663240,3875940
B,2080640,2004850,1881670,1766790,1879870,1868160,1871000,1819010,1783930,3657250,3329000,3046350
C,633600,587320,635410,596702,589266,645841,666426,709800,673274,1978420,2359960,2201250
D,949706,967625,1136460,1154440,1124650,1181240,1090660,1112890,1181220,2049920,2176550,2299140
E,449436,484772,417904,454622,463201,414978,467671,452361,476044,1377500,1350310,1312670
F,192021,178938,179544,175035,174655,188235,150800,123134,135878,323340,333005,325906
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
