Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto44.0h_RealTime-Glo_4-18-2019_12-14-33 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5632.22,5586.89,5004.26,6972.27,4658.44,4112.66,4456.28,4320.09,4488.35,4238.22,4550.94,4302.74
,B,5699.34,5041.27,4594.05,4653.63,4484.95,4568.66,4431.13,4220.54,4449.6,4422.32,4216.07,4280.9
,C,5176.6,4634.32,4349.62,4610.06,4170.1,4165.23,4172.74,3990.42,4113.56,4170.45,4002.54,4000.27
,D,4752.97,4480.07,4299.58,4063.09,3863.31,4107.88,3909.94,4103.28,3904.81,3958.26,4042.88,3962.89
,E,5314.21,4528.89,4534.92,4409.2,4415.93,4217.33,4242.35,4074.9,4408.66,4202.53,4190.56,4138.87
,F,4770.4,4206.84,4023.59,3935,4004.87,4295.83,3967.38,3959.16,4246.42,3878.02,3989.96,4052.53
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1052090,1314140,1057340,976696,873391,798194,661002,513312,616596,442467,516597,470687
,B,1338970,1232160,1193920,1168140,1196980,1037280,912202,812992,915084,767237,749289,761669
,C,433378,386146,374014,404356,359259,339953,227617,216564,250099,158237,159988,153605
,D,937417,1043160,950370,826840,750955,846581,617484,640281,579064,532340,511720,494241
,E,519923,518410,510635,467033,530274,472975,306719,297216,307918,242462,236942,214180
,F,258949,229736,251470,210339,203742,214551,124079,110632,145811,87069.9,92762.8,85851.2
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
