Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_12-35-03 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7661.57,6090.78,7264.61,7147.73,7456.6,6715.67,7442.74,6013.77,7108.82,6090.9,6934.11,6976.61
,B,6188.21,5596.36,6106.83,5959.65,6092.68,5800.65,5793.99,5449.81,5685.65,5750.75,5947.9,5773.85
,C,6374.33,5680.67,6049.1,5936.87,5976.2,5902.11,5771.42,5362.8,5906.93,6006.3,6106.33,5908.38
,D,6168.47,5935.22,6108.92,6005.26,6197.6,5609.77,5964.66,5808.44,5997.59,5950.13,5912.55,6441.9
,E,6154.17,5791.25,6119.31,6307.6,6033.55,5499.34,5803.08,5542.46,6227.86,5486.25,5664.38,5255.72
,F,5849.84,5759.47,5556.4,5428.05,5303.07,4937.71,4975.53,5202.39,5730.22,5003.7,5132.94,5106.32
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1481590,998168,1431590,1688330,2176450,1490250,1301100,1111610,1187380,907683,992346,856809
,B,835587,798142,835963,882159,1081470,946847,669802,692792,623725,423996,423720,379411
,C,443437,400334,460015,415380,465146,460005,250466,258164,254688,125577,159675,138673
,D,671237,735662,850576,693725,890993,855222,758488,693255,826501,426922,473350,579659
,E,433736,355926,439263,510283,535346,506729,320141,271690,304499,166762,173882,401694
,F,224747,276296,248946,213250,232823,216729,99132.7,118605,133115,71325.5,77736,187029
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
