,1,2,3,4,5,6,7,8,9,10,11,12
A,2773920,1443000,2677630,2834370,2535430,2833730,2782440,2695630,2990790,4773930,4628020,4522350
B,3670470,3536430,2855770,2994440,3075290,3188880,3285240,3031560,2961410,7160170,6595010,5978250
C,596063,573610,607582,561292,574867,643971,545198,636504,560195,2675460,2832490,2855700
D,957325,984099,1293520,1340960,1279240,1430010,1149020,1234590,1311910,2864200,3112010,2829420
E,431201,463364,458305,468570,514046,449305,451986,410251,440480,1979420,1975460,1818640
F,128972,137349,133017,153370,132461,134225,81118.2,45125.6,82843.5,430651,423070,418248
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
