,1,2,3,4,5,6,7,8,9,10,11,12
A,7956.75,9580.59,7676.18,6293.06,7009.22,7025.09,6545.92,5949.11,5704.45,6150.69,6460.61,5923.18
B,6023.65,6124.01,5696.07,4802.93,4910.53,5159.2,4700.76,4842.68,5004.45,5044.75,4812.79,4732.72
C,5844.14,6432.2,5576.53,4786.44,4874.55,5153.47,4908.95,4893.29,4630.96,4777.1,4770.19,4730.21
D,5809.39,6525.37,5557.08,4667.86,4728.95,4971.89,4457.19,4537.72,4598.67,4551.01,4545.89,4412.42
E,6272.29,6383.09,5360.93,4931.39,4795.3,5137.21,4590.44,4224.29,4338,4708.78,4523.77,4385.11
F,6073,5968.13,5042.43,4530.74,4548.58,4500.65,4389.02,4485.35,4506.44,4316.55,4260.91,4356.64
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
