,1,2,3,4,5,6,7,8,9,10,11,12
A,2680870,3124340,2399000,2076910,2485330,2607110,2290590,1877410,1810780,1820860,1606240,1616040
B,2395580,2574700,2393700,1916650,1729770,2752590,1993710,2142900,1940960,1854110,1821860,1618180
C,488314,664473,555110,465073,467921,538218,458041,460063,415099,384784,403945,402724
D,1385200,1887570,1347820,1023810,1124460,1272070,967782,1243460,1059820,1002050,875196,772430
E,501262,657308,516106,487922,490419,567634,393928,373484,385877,454578,416548,447323
F,522727,493248,465891,353956,347515,300104,283125,272959,228824,198636,202562,200727
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
