Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_2-51-13 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5798.14,5109.11,5626.67,5554.48,5076.62,5618.54,5486.4,5541.63,5913.86,14831.2,14323.3,15815.7
,B,5107.24,4904.15,4565.1,4677.68,4665.63,4696.01,5052.95,4840.52,4963.96,12379.5,11898.3,11109.2
,C,5583.41,5076.24,4906.69,5063.09,4837.14,4761.81,5173.86,5065.01,5242.92,17404.7,23980.7,21565.6
,D,4820.05,4477.58,4619.79,4567.74,4414.52,4620.61,4685.38,4718.11,4931.52,11653.6,12179.6,13327.9
,E,4482.79,4460.11,4288.43,4436.25,4278.56,4252.24,4448.16,4528.95,4772.52,8838.8,9195.82,10662.6
,F,4254.59,4135.31,4151.09,4216.66,4203.29,4593.03,4392.45,4661.6,4424.83,5171.3,5210.02,5248.57
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2363320,1293240,2355540,2352650,2202390,2408900,2971960,2480010,2720310,4628250,4285490,4223880
,B,3023250,2704260,2323740,2321880,2538300,2574650,2786970,2433690,2525610,4962320,4784720,4269200
,C,540665,546506,581135,556332,554841,621950,605200,650613,618301,2177440,2650370,2495840
,D,890652,999228,1154870,1198680,1181230,1231140,1113820,1205050,1214550,2471770,2483630,2598490
,E,404076,413539,409262,442018,481161,401670,463927,420087,440738,1644600,1580340,1525260
,F,142237,151274,150719,143444,146155,154618,120477,96578.4,111119,375668,368373,375792
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
