,1,2,3,4,5,6,7,8,9,10,11,12
A,4956.04,4909.59,4754.17,5015.76,4466.85,4050.08,4338.03,4234.78,4467.03,4162.14,4389.48,4232.94
B,4844.91,4772.77,4426.99,4504.34,4469.97,4537.05,4382.8,4203.2,4298.25,4450.38,4271.05,4195.29
C,4396.25,4178.28,4160.66,4614.42,4153.08,4142.99,4200.9,3913.35,4104.04,4142.83,3940.37,3911.42
D,4235.28,4177.48,4067.34,3978.22,3907.91,4120.79,3824.53,3989.13,3811.25,3828.76,3950.62,3817.9
E,4593.51,4193.32,4377.15,4311.52,4343.9,4122.53,4130.08,4032.59,4332.2,4136.91,4093.57,3984.22
F,4060.87,3912.6,3847.57,3881.2,4003.57,4226.24,3881.4,3960.19,4159.59,3882.25,3898.08,4032.75
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
