,1,2,3,4,5,6,7,8,9,10,11,12
A,2182600,1279470,2214120,2297000,2081760,2233260,2513560,2370370,2584110,4236450,3997810,4007920
B,2538040,2385160,2159860,2094360,2230720,2204480,2266940,2180080,2202050,4442970,4286790,3777020
C,545345,549398,570369,543658,559368,627124,613190,663469,608151,2107650,2596320,2309560
D,849815,978896,1219420,1159630,1139420,1203450,1104820,1157500,1202390,2295280,2367370,2448200
E,383116,409349,407699,439144,462871,415566,460233,416368,434736,1616220,1472650,1429680
F,145909,155411,156284,151781,152008,159849,127405,102535,114412,344921,353896,342827
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
