Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_4-57-21 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5787.78,5213.73,5705.35,5532.61,5037.97,5609.87,5490.89,5511.12,5911.33,14977.4,14352.7,16097.7
,B,5070.22,4989.09,4559.07,4677.24,4670.73,4720.45,5035.57,4818.96,4957.88,12529.7,12151.9,11338.5
,C,5560.07,5013.41,4855.57,5028.78,4819.62,4766.13,5193.25,5056.15,5255.48,17541.7,23668.2,22033.6
,D,4784.94,4416.79,4574.7,4540.49,4374.02,4588.07,4643.07,4682.28,4864.77,11569.4,11895.8,12980.9
,E,4451.42,4413.2,4237.27,4397.81,4239.72,4227.61,4424.94,4489.36,4724.27,8740.46,8994,10418.3
,F,4206.3,4065.24,4103.26,4170.06,4161.74,4577.35,4350.59,4625.23,4383.05,5148.32,5195.68,5235.39
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2182600,1279470,2214120,2297000,2081760,2233260,2513560,2370370,2584110,4236450,3997810,4007920
,B,2538040,2385160,2159860,2094360,2230720,2204480,2266940,2180080,2202050,4442970,4286790,3777020
,C,545345,549398,570369,543658,559368,627124,613190,663469,608151,2107650,2596320,2309560
,D,849815,978896,1219420,1159630,1139420,1203450,1104820,1157500,1202390,2295280,2367370,2448200
,E,383116,409349,407699,439144,462871,415566,460233,416368,434736,1616220,1472650,1429680
,F,145909,155411,156284,151781,152008,159849,127405,102535,114412,344921,353896,342827
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
