,1,2,3,4,5,6,7,8,9,10,11,12
A,4610.79,3641.21,4430.61,4661.88,4798.91,4514.91,4584.6,4153.66,4748.63,3972.29,4439.47,4353.88
B,3783.64,3530.51,3866.57,3883.99,4112.38,3957.35,3867.43,3902.79,3776,3990.97,3938.72,3958.84
C,3793.27,3704.53,3818.31,3948.35,4065.96,3804.26,4016.4,3807.01,4099.61,4105.7,4025.65,3966
D,3825.81,3598.12,3947.88,3769.25,4091.42,3862.14,4081.63,3867.89,4165.75,4038.31,4060.58,4496.93
E,3664.6,3559.82,3988.49,4073.94,4130.65,3995.31,4134.83,3852.82,3907.36,3888.05,3980.2,4022.51
F,4002.76,3856.82,3940.05,3908.99,3917.88,3981.6,4076.27,3959.89,4005.06,3888.3,3825.47,4534.92
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
