,1,2,3,4,5,6,7,8,9,10,11,12
A,2511140,2930210,2270630,1978680,2298150,2469740,2131950,1793710,1759290,1679110,1706280,1617990
B,2026780,2109200,2099820,1884980,1738460,2149710,1924690,2053490,1814630,1747180,1762100,1498510
C,428465,552638,512433,452994,465478,520650,461938,461569,415329,406994,410931,403112
D,1294240,1767320,1278780,1045090,1119650,1239730,989050,1069820,1052170,903023,890494,904846
E,415668,609351,449976,484326,474827,544404,430198,370854,385784,433549,416274,453387
F,454967,461995,389357,375705,355770,307096,282251,274039,251142,199463,200988,199706
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
