Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_6-22-30 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5300.91,4107.31,5134.17,5305.08,5496.39,5116.95,5311.93,4654.61,5375.4,4432.87,5166.19,5068.72
,B,4191.43,3934.01,4277.17,4289.89,4553.49,4303.69,4186.85,4243.81,4131.48,4365.6,4376.27,4421.42
,C,4194.71,4039.22,4247.05,4283.53,4450.71,4114.64,4373.04,4173.98,4435.98,4523.43,4561.59,4374.53
,D,4188.38,4026.04,4308.9,4121.24,4486.56,4226.28,4481.34,4252.36,4587.92,4651.85,4475.12,5115.87
,E,3974.53,3830.36,4300.14,4421.12,4494.6,4273.74,4530.14,4081.24,4196.32,4215.61,4319.37,4520.13
,F,4185.43,4034.48,4108.93,4081.09,4068.64,4135.62,4228.31,4111.98,4626.25,4021.79,3963.78,4555.7
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3316190,2082840,2965710,3034910,3154710,2619720,2143390,1412290,1589930,780071,1101900,761631
,B,2908600,2583830,3070550,2819080,3302660,3082110,1893000,1900790,1733470,1226160,1274550,744708
,C,428867,404705,423319,356272,437599,393707,197887,171724,165913,79687.5,92027.9,86565.5
,D,1080200,1272770,1615920,1429130,1860700,1731840,1428280,1245980,1474160,648140,737130,869834
,E,476979,448319,522860,555450,620021,511248,277863,229918,258863,117170,117863,301504
,F,279337,303728,299928,246583,266405,295391,135692,139903,184319,88089,86961,228013
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
