Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_5-11-27 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7499.31,5874.23,7095.11,7000.19,7350.4,6567,7188.04,6029.38,6864.5,5972.66,6692.77,6689.52
,B,6007.24,5459.29,5941.03,5839.79,6080.12,5734.19,5612.94,5467.11,5485.2,5657.22,5727.09,5625.59
,C,6193.19,5603.87,5964.28,5816.6,5894.54,5777.11,5723.24,5455.17,5792.02,5857.54,6107.1,5717.24
,D,5955.77,5794.22,5988.02,5875.25,6085.23,5514.98,5882.73,5680.17,5927.53,5787.05,5771.2,6320.27
,E,6002.16,5602.63,5977.97,6152.27,6074.44,5454.89,5847.05,5728.74,5905.85,5519.27,5522.49,5566.6
,F,5739.56,5659.62,5482.98,5335.37,5284.78,5027.46,5028.43,5128.02,5634.88,4972.71,4995.24,5118.36
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1772060,1130600,1660910,1825410,1954120,1632680,1450700,1116090,1260180,886204,1067230,845436
,B,1130000,1101050,1163340,1070340,1321300,1288960,891741,909343,801470,572577,578254,474344
,C,380082,353999,395028,348795,390659,407314,214329,219495,215254,107052,130046,111760
,D,662704,779332,906279,754769,891047,909021,812192,713025,940867,467282,520550,638390
,E,396128,310646,404742,478690,532675,472466,306786,257071,289486,150641,153741,361347
,F,198121,225274,213642,184883,219248,184346,105981,98511.5,97101.5,64397.8,68493.4,191415
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
