,1,2,3,4,5,6,7,8,9,10,11,12
A,1043790,1178960,1132000,1081330,890703,787038,663504,517202,602924,438055,532545,478092
B,1528300,1476510,1422310,1358390,1344370,1119560,1049270,966958,1020250,922726,875986,887729
C,418194,386377,358299,388329,359771,333330,225319,212635,244955,154138,153586,147051
D,934837,1084390,935668,832925,776635,886418,588396,613424,543388,512738,494391,457938
E,525904,539270,527968,482225,547980,502177,313010,290541,325831,242895,222462,212708
F,220444,209054,222627,206474,199664,207293,118825,107527,139391,83608,90468.5,81424.7
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
