Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-28-2019_8-52-39 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4341.55,4093.8,4423.95,4373.78,4107.79,4448.24,4427.7,4334.29,4518.69,5171.14,5013.72,5161.36
,B,4103.11,4104.01,3892.09,3972.62,3981.88,3958.28,4274.02,4155.63,4197.69,4971.63,4985.89,4881.67
,C,4088.85,4174.14,4059.8,4174.29,4031.42,3943.33,4105.6,4063.87,4113.17,4791.71,5082.72,5176.68
,D,3804.23,3917.29,3971.7,3904.23,3828.76,3961.28,3989.27,3998.59,4100.61,4806.03,4671.27,4803.78
,E,3773.17,3973.93,3800.93,3898.9,3778.66,3763.81,3844.23,3905.17,4105.25,4620.8,4610.41,4701.43
,F,3978.28,3876.77,3885.89,3977.6,3945.51,4129.59,4033.03,4182.44,4040.84,4605.03,4652.7,4664.21
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2682260,1171910,2372330,2270510,2031550,2522820,848572,807155,964230,1118760,908210,963776
,B,4897490,4178520,3683450,3903170,3933030,4431350,2606340,2347760,2244730,2959600,2712140,2709160
,C,376285,363885,375742,245026,290452,313498,15938.9,21060.6,16706.2,50499.7,64249.8,61939
,D,581060,777027,839579,863931,832843,861063,269580,330364,409806,401047,304808,395662
,E,258021,347314,318643,233538,266945,265610,7982.25,7306.72,9241.35,37387.2,37124.2,35234.2
,F,66917.6,68184.3,71786.9,49950.9,52575.6,68068.5,753.029,822.034,861.038,9690.79,9322.43,10358.5
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
