,1,2,3,4,5,6,7,8,9,10,11,12
A,3564480,2184610,3076890,3218730,3380480,2754380,2226330,1383360,1640300,753935,1081570,739055
B,3160620,2776560,3556580,3118840,3742390,3358010,2053510,2080860,1849110,1285760,1324020,838254
C,442549,408339,430487,368130,450547,404289,180124,176687,165310,78933.5,89741.9,83798.6
D,1144270,1344530,1821180,1531590,2018790,1818100,1451270,1307250,1664380,646057,718330,862797
E,509914,471335,537834,572725,634099,504911,265435,221302,250756,117316,116197,287901
F,328934,344134,340549,279467,305189,294964,133227,155282,207774,97880.2,100012,266847
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
